ds,y,yhat
2024-12-02,16396,16223.772290554962
2024-12-03,16914,16962.961159670045
2024-12-04,18812,17933.56789756953
2024-12-05,19282,16995.015468831854
2024-12-06,19221,16137.045894100393
2024-12-07,18566,17092.155944174436
2024-12-08,18178,16247.484490820438
2024-12-09,17207,17637.978981430053
2024-12-10,16120,19131.736141056943
2024-12-11,15623,20832.468633096847
2024-12-12,13111,20576.814941359873
2024-12-13,13591,20332.586801511738
2024-12-14,14601,21811.866712632167
2024-12-15,15712,21383.523718195087
2024-12-16,15633,23066.956144805474
2024-12-17,18391,24717.93888873017
2024-12-18,18288,26431.51125363433
2024-12-19,18168,26039.60913436296
2024-12-20,19492,25509.525081356624
2024-12-21,18478,26557.101000112896
2024-12-22,17581,25559.21717537527
2024-12-23,16921,26547.38525357893
2024-12-24,14891,27393.325236169672
2024-12-25,15413,28211.468438797492
2024-12-26,14401,26856.099524216315
2024-12-27,13054,25319.23359336317
2024-12-28,16568,25343.14835857309
2024-12-29,15290,23332.15277779891
2024-12-30,15848,23345.419418890044
2024-12-31,828,23281.7816544489
