ds,yhat,yhat_lower,yhat_upper
2023-01-01,19861.06336948848,-8473.903209013642,49655.28191237906
2023-01-02,19644.06060121899,-7195.195665244592,48046.782593976786
2023-01-03,19411.514042362636,-8982.942797760335,48811.03338777708
2023-01-04,19307.547322411225,-9435.103612630439,49940.72271354166
2023-01-05,17212.30449783534,-11407.916364612753,44842.61467392457
2023-01-06,15139.031292554904,-15166.405715875026,42469.29313399083
2023-01-07,14845.929123001044,-14017.57007941062,43931.799424229124
2023-01-08,12747.384237329017,-16327.367037569351,40019.09231711671
2023-01-09,12906.416578608085,-15747.516573013323,40712.83807358344
2023-01-10,13219.262672020664,-16528.360072817937,41543.87276250198
2023-01-11,13817.065009345883,-14988.630433543958,42338.21413605781
2023-01-12,12562.406920139661,-16075.015036929013,40913.57952378805
2023-01-13,11446.809371924439,-20456.302138222964,39680.76481722427
2023-01-14,12203.12411282412,-16832.42860376763,40538.94570278439
2023-01-15,11217.412374356187,-17990.106529427976,38932.08296623085
2023-01-16,12522.13738791979,-16650.64264617745,41218.90324243131
2023-01-17,13981.565828690824,-12119.235153278978,42641.77184483885
2023-01-18,15694.329141280949,-12646.278167417971,42589.004178986
2023-01-19,15490.860452413406,-14125.412272732317,46119.28786316772
2023-01-20,15331.799084370408,-12875.065160710014,44389.925867216
2023-01-21,16921.272169319327,-11778.986775375432,47195.84427874987
2023-01-22,16619.617863003317,-9868.527047323878,45779.15260249368
2023-01-23,18437.35456621977,-10342.466112537844,46593.808501686435
2023-01-24,20221.268943302086,-8407.388877580916,50479.69699307983
2023-01-25,22057.553629884504,-7223.196209623199,52065.895079403235
2023-01-26,21769.69276458975,-5848.669955840724,52105.00748751108
2023-01-27,21317.173357217715,-6116.185808683608,47707.069372421574
2023-01-28,22408.921408013957,-5950.650446848371,49656.7432452676
2023-01-29,21416.020775595374,-6615.063016531495,51702.52718422431
2023-01-30,22365.516888791808,-5854.657990325466,52284.74437537218
2023-01-31,23126.18010630684,-4894.143465613241,53088.087905750865
2023-02-01,23811.16583401913,-3272.003123765526,54092.47827522403
2023-02-02,22275.28017341302,-9667.555027717537,50982.662393562685
2023-02-03,20512.943360455363,-6822.5941077925245,49344.496103465666
2023-02-04,20270.76798967226,-9827.73459124041,49334.146119350684
